Timestamp,Device,IP,tcpActiveOpens,tcpCurrEstab,tcpEstabResets,tcpInSegs,tcpOutRsts,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,udpInDatagrams,udpInErrors,udpNoPorts,udpOutDatagrams,ipForwDatagrams,ipInAddrErrors,ipInDelivers,ipInDiscards,ipInReceives,ipOutNoRoutes,ipOutDiscards,ipOutRequests,icmpInDestUnreachs,icmpInEchos,icmpInMsgs,icmpOutDestUnreachs,icmpOutEchoReps,icmpOutMsgs,ifInOctets_enp0s3,ifInUcastPkts_enp0s3,ifInNUcastPkts_enp0s3,ifInDiscards_enp0s3,ifOutOctets_enp0s3,ifOutUcastPkts_enp0s3,ifOutNUcastPkts_enp0s3,ifOutDiscards_enp0s3,ifInOctets_enp0s8,ifInUcastPkts_enp0s8,ifInNUcastPkts_enp0s8,ifInDiscards_enp0s8,ifOutOctets_enp0s8,ifOutUcastPkts_enp0s8,ifOutNUcastPkts_enp0s8,ifOutDiscards_enp0s8,ifInOctets_enp0s9,ifInUcastPkts_enp0s9,ifInNUcastPkts_enp0s9,ifInDiscards_enp0s9,ifOutOctets_enp0s9,ifOutUcastPkts_enp0s9,ifOutNUcastPkts_enp0s9,ifOutDiscards_enp0s9,ifInOctets_enp0s10,ifInUcastPkts_enp0s10,ifInNUcastPkts_enp0s10,ifInDiscards_enp0s10,ifOutOctets_enp0s10,ifOutUcastPkts_enp0s10,ifOutNUcastPkts_enp0s10,ifOutDiscards_enp0s10
2026-04-08 13:19:27,device1,172.16.0.80,1394,226,1007,207721,2332,103000,15663,5836,4629,0,40,5343,0,0,204587,0,204587,0,20,102896,40,0,40,40,0,40,24802626,202528,0,0,19383488,103140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:27,device2,172.16.0.1,5,0,1,568,7,458,0,0,2903,0,40,2942,588558,0,3553,0,592113,0,20,3442,40,0,40,40,0,40,699839463,481829,7,0,6864232,90228,0,0,31625390,289509,0,0,961139373,521286,0,0,21651038,132129,0,0,182653960,287586,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:27,device3,10.0.0.1,4,0,1,152,1,145,0,0,3184,0,40,4087,529151,0,3420,0,532578,0,20,4288,40,0,40,44,0,44,618109109,521149,0,0,31657624,289914,0,0,4841003,76598,0,0,928122628,409497,0,0,25314566,208922,0,0,34071409,109233,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:27,device4,192.168.10.10,309,0,1,134500,109,70906,0,23,6123,0,72,6274,0,0,140890,0,140890,0,20,77396,193,0,193,191,0,191,590487130,408806,0,0,4845029,76661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:27,device5,192.168.20.10,20321,228,295,98315,16114,120711,0,82514,5936,0,66,6037,0,0,104441,0,104441,0,20,209384,121,0,121,119,0,119,26987855,109055,0,0,25337012,209175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:43,device1,172.16.0.80,1396,311,1007,208502,2332,103619,15834,5849,4693,0,40,5409,0,0,205432,0,205432,0,20,103588,40,0,40,40,0,40,24893157,203414,0,0,19513489,103882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:43,device2,172.16.0.1,5,0,1,568,7,458,0,0,2961,0,40,3000,590558,0,3611,0,594171,0,20,3500,40,0,40,40,0,40,699839523,481830,7,0,6864676,90234,0,0,31737663,290636,0,0,961304905,522248,0,0,21805954,133173,0,0,182771436,288773,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:43,device3,10.0.0.1,4,0,1,152,1,145,0,0,3247,0,40,4150,530997,0,3483,0,534487,0,20,4351,40,0,40,44,0,44,618240763,522071,0,0,31766655,291002,0,0,4851111,76714,0,0,928132772,409615,0,0,25407728,209828,0,0,34199299,109977,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:43,device4,192.168.10.10,309,0,1,134500,109,70906,0,23,6238,0,72,6389,0,0,141005,0,141005,0,20,77511,193,0,193,191,0,191,590502112,408980,0,0,4860191,76835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:43,device5,192.168.20.10,20490,309,295,98917,16123,121483,0,82514,6051,0,66,6152,0,0,105162,0,105162,0,20,210269,121,0,121,119,0,119,27116777,109790,0,0,25425662,210054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:58,device1,172.16.0.80,1396,349,1007,209765,2332,104721,16011,5851,4756,0,40,5478,0,0,206758,0,206758,0,20,104744,40,0,40,40,0,40,25019468,204725,0,0,19706187,105051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:58,device2,172.16.0.1,5,0,1,568,7,458,0,0,3019,0,40,3058,593513,0,3669,0,597184,0,20,3558,40,0,40,40,0,40,699839523,481830,7,0,6864898,90237,0,0,31883239,292172,0,0,961539444,523637,0,0,22023133,134631,0,0,182922095,290367,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:58,device3,10.0.0.1,4,0,1,152,1,145,0,0,3311,0,40,4214,533816,0,3547,0,537370,0,20,4415,40,0,40,44,0,44,618450190,523466,0,0,31915101,292554,0,0,4861279,76831,0,0,928142898,409733,0,0,25540237,211197,0,0,34416323,111191,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:58,device4,192.168.10.10,309,0,1,134500,109,70906,0,23,6355,0,72,6506,0,0,141122,0,141122,0,20,77628,193,0,193,191,0,191,590507166,409039,0,0,4865305,76982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:19:58,device5,192.168.20.10,20669,348,295,100004,16142,122749,0,82514,6167,0,66,6268,0,0,106361,0,106361,0,20,211652,121,0,121,119,0,119,27288393,110977,0,0,25561843,211421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:13,device1,172.16.0.80,1401,407,1007,210602,2334,105411,16177,5865,4821,0,40,5543,0,0,207658,0,207658,0,20,105495,40,0,40,40,0,40,25106434,205582,0,0,19835613,105771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:13,device2,172.16.0.1,5,0,1,568,7,458,0,0,3077,0,40,3116,595994,0,3726,0,599722,0,20,3615,40,0,40,40,0,40,700208628,482126,7,0,6911891,90433,0,0,32038747,293471,0,0,962264882,524886,0,0,22189734,135659,0,0,183035813,291530,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:13,device3,10.0.0.1,4,0,1,152,1,145,0,0,3378,0,40,4306,536138,0,3617,0,539762,0,20,4507,40,0,40,44,0,44,618984836,524735,0,0,32071593,293873,0,0,4878874,77055,0,0,928488459,410033,0,0,25638363,212201,0,0,34796145,112100,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:13,device4,192.168.10.10,313,1,1,134606,111,71013,0,23,6482,0,72,6633,0,0,141355,0,141355,0,20,77862,193,0,193,191,0,191,590749565,409395,0,0,4887954,77176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:13,device5,192.168.20.10,20835,403,295,100765,16162,123666,0,82514,6287,0,66,6388,0,0,107252,0,107252,0,20,212691,121,0,121,119,0,119,27604873,111995,0,0,25668279,212540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:28,device1,172.16.0.80,1402,461,1007,211415,2334,106074,16340,5877,4886,0,40,5608,0,0,208537,0,208537,0,20,106228,40,0,40,40,0,40,25198402,206476,0,0,19967145,106514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:28,device2,172.16.0.1,5,0,1,568,7,458,0,0,3135,0,40,3174,598067,0,3784,0,601853,0,20,3673,40,0,40,40,0,40,700208762,482126,8,0,6912071,90435,0,0,32154511,294636,0,0,962422851,525878,0,0,22342273,136725,0,0,183156780,292755,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:28,device3,10.0.0.1,4,0,1,152,1,145,0,0,3442,0,40,4370,538052,0,3680,0,541739,0,20,4571,40,0,40,44,0,44,619120519,525662,0,0,32179757,294961,0,0,4888982,77171,0,0,928498525,410150,0,0,25730649,213107,0,0,34927899,112847,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:28,device4,192.168.10.10,313,1,1,134606,111,71013,0,23,6599,0,72,6750,0,0,141472,0,141472,0,20,77979,193,0,193,191,0,191,590771073,409520,0,0,4898326,77296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:28,device5,192.168.20.10,20998,454,295,101403,16170,124471,0,82514,6396,0,66,6497,0,0,107995,0,107995,0,20,213603,121,0,121,119,0,119,27746159,112726,0,0,25754109,213403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:43,device1,172.16.0.80,1403,488,1007,212596,2334,107145,16469,5883,4950,0,40,5674,0,0,209785,0,209785,0,20,107349,40,0,40,40,0,40,25319341,207740,0,0,20152977,107682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:20:43,device2,172.16.0.1,5,0,1,568,7,458,0,0,3192,0,40,3231,600946,0,3842,0,604790,0,20,3731,40,0,40,40,0,40,700208762,482126,8,0,6912071,90435,0,0,32300928,296183,0,0,962660894,527262,0,0,22551302,138177,0,0,183302797,294302,0,0,0,0,0,0,0,0,0,0
