Timestamp,Device,IP,tcpActiveOpens,tcpCurrEstab,tcpEstabResets,tcpInSegs,tcpOutRsts,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,udpInDatagrams,udpInErrors,udpNoPorts,udpOutDatagrams,ipForwDatagrams,ipInAddrErrors,ipInDelivers,ipInDiscards,ipInReceives,ipOutNoRoutes,ipOutDiscards,ipOutRequests,icmpInDestUnreachs,icmpInEchos,icmpInMsgs,icmpOutDestUnreachs,icmpOutEchoReps,icmpOutMsgs,ifInOctets_enp0s3,ifInUcastPkts_enp0s3,ifInNUcastPkts_enp0s3,ifInDiscards_enp0s3,ifOutOctets_enp0s3,ifOutUcastPkts_enp0s3,ifOutNUcastPkts_enp0s3,ifOutDiscards_enp0s3,ifInOctets_enp0s8,ifInUcastPkts_enp0s8,ifInNUcastPkts_enp0s8,ifInDiscards_enp0s8,ifOutOctets_enp0s8,ifOutUcastPkts_enp0s8,ifOutNUcastPkts_enp0s8,ifOutDiscards_enp0s8,ifInOctets_enp0s9,ifInUcastPkts_enp0s9,ifInNUcastPkts_enp0s9,ifInDiscards_enp0s9,ifOutOctets_enp0s9,ifOutUcastPkts_enp0s9,ifOutNUcastPkts_enp0s9,ifOutDiscards_enp0s9,ifInOctets_enp0s10,ifInUcastPkts_enp0s10,ifInNUcastPkts_enp0s10,ifInDiscards_enp0s10,ifOutOctets_enp0s10,ifOutUcastPkts_enp0s10,ifOutNUcastPkts_enp0s10,ifOutDiscards_enp0s10
2026-04-08 13:48:29,device1,172.16.0.80,1911,43,1336,320478,2712,189993,29901,8152,7726,0,40,8690,0,0,318016,0,318016,0,20,190654,40,0,40,40,0,40,36430464,315300,0,0,38528809,192620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:29,device2,172.16.0.1,5,0,1,568,7,458,0,0,5294,0,40,5333,831710,0,5944,0,837656,0,20,5833,40,0,40,40,0,40,729086581,503449,12,0,8706383,102460,0,0,45945610,424162,0,0,1026837945,639895,0,0,41864134,234091,0,0,195364606,412561,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:29,device3,10.0.0.1,4,0,1,152,1,145,0,0,5809,0,40,7487,763917,0,6046,0,769970,0,20,7687,40,0,40,44,0,44,666278751,639708,0,0,45988712,424695,0,0,5884848,91040,0,0,967649520,433478,0,0,37280530,325691,0,0,60006037,201540,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:29,device4,192.168.10.10,448,0,1,144538,173,80551,0,30,11082,0,72,11233,0,0,155887,0,155887,0,20,92007,193,0,193,191,0,191,617075684,432670,0,0,5893941,91162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:29,device5,192.168.20.10,34559,44,345,182474,25746,221382,0,93789,10786,0,66,10887,0,0,193453,0,193453,0,20,326179,121,0,121,119,0,119,48334599,201099,0,0,37291876,325833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:44,device1,172.16.0.80,1919,195,1343,321078,2719,190442,30073,8162,7790,0,40,8754,0,0,318623,0,318623,0,20,191117,40,0,40,40,0,40,36506384,315866,0,0,38606179,193055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:44,device2,172.16.0.1,5,0,1,568,7,458,0,0,5351,0,40,5390,833237,0,6002,0,839241,0,20,5891,40,0,40,40,0,40,729086581,503449,12,0,8706457,102461,0,0,46041040,424957,0,0,1026956737,640548,0,0,41965724,234816,0,0,195465062,413414,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:44,device3,10.0.0.1,4,0,1,152,1,145,0,0,5873,0,40,7551,765309,0,6109,0,771425,0,20,7752,40,0,40,44,0,44,666368567,640305,0,0,46073868,425414,0,0,5894842,91156,0,0,967659548,433596,0,0,37349934,326227,0,0,60103793,201958,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:44,device4,192.168.10.10,448,0,1,144538,173,80551,0,30,11198,0,72,11349,0,0,156003,0,156003,0,20,92123,193,0,193,191,0,191,617085556,432786,0,0,5903935,91278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:44,device5,192.168.20.10,34726,198,345,182855,25746,221934,0,93789,10903,0,66,11004,0,0,193947,0,193947,0,20,326848,121,0,121,119,0,119,48423965,201634,0,0,37380999,326526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:59,device1,172.16.0.80,1920,241,1343,321919,2719,191133,30235,8168,7853,0,40,8819,0,0,319526,0,319526,0,20,191867,40,0,40,40,0,40,36608194,316782,0,0,38745961,193823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:59,device2,172.16.0.1,5,0,1,568,7,458,0,0,5411,0,40,5450,835361,0,6061,0,841424,0,20,5950,40,0,40,40,0,40,729086645,503450,12,0,8707035,102469,0,0,46163891,426114,0,0,1027134111,641548,0,0,42131992,235892,0,0,195593089,414631,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:59,device3,10.0.0.1,4,0,1,152,1,145,0,0,5936,0,40,7614,767284,0,6172,0,773463,0,20,7815,40,0,40,44,0,44,666525499,641288,0,0,46195303,426553,0,0,5904896,91273,0,0,967669558,433714,0,0,37455816,327186,0,0,60262915,202763,0,0,0,0,0,0,0,0,0,0
2026-04-08 13:48:59,device4,192.168.10.10,448,0,1,144538,173,80551,0,30,11314,0,72,11465,0,0,156120,0,156120,0,20,92239,193,0,193,191,0,191,617095488,432903,0,0,5913989,91395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
