Timestamp,Device,IP,tcpActiveOpens,tcpCurrEstab,tcpEstabResets,tcpInSegs,tcpOutRsts,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,udpInDatagrams,udpInErrors,udpNoPorts,udpOutDatagrams,ipForwDatagrams,ipInAddrErrors,ipInDelivers,ipInDiscards,ipInReceives,ipOutNoRoutes,ipOutDiscards,ipOutRequests,icmpInDestUnreachs,icmpInEchos,icmpInMsgs,icmpOutDestUnreachs,icmpOutEchoReps,icmpOutMsgs,ifInOctets_enp0s3,ifInUcastPkts_enp0s3,ifInNUcastPkts_enp0s3,ifInDiscards_enp0s3,ifOutOctets_enp0s3,ifOutUcastPkts_enp0s3,ifOutNUcastPkts_enp0s3,ifOutDiscards_enp0s3,ifInOctets_enp0s8,ifInUcastPkts_enp0s8,ifInNUcastPkts_enp0s8,ifInDiscards_enp0s8,ifOutOctets_enp0s8,ifOutUcastPkts_enp0s8,ifOutNUcastPkts_enp0s8,ifOutDiscards_enp0s8,ifInOctets_enp0s9,ifInUcastPkts_enp0s9,ifInNUcastPkts_enp0s9,ifInDiscards_enp0s9,ifOutOctets_enp0s9,ifOutUcastPkts_enp0s9,ifOutNUcastPkts_enp0s9,ifOutDiscards_enp0s9,ifInOctets_enp0s10,ifInUcastPkts_enp0s10,ifInNUcastPkts_enp0s10,ifInDiscards_enp0s10,ifOutOctets_enp0s10,ifOutUcastPkts_enp0s10,ifOutNUcastPkts_enp0s10,ifOutDiscards_enp0s10
2026-05-03 13:06:29,device1,172.16.0.80,73,0,0,116,19,213,11,353,255,0,127837,399,0,0,128264,0,128264,0,20,981,40,0,40,84,0,84,7401670,123338,0,0,171838,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-03 13:06:29,device2,172.16.0.1,3,0,1,113,1,93,0,0,41,0,40,80,225738,0,249,0,225992,0,20,246,40,0,40,69,0,69,213402196,148574,3,0,7185805,37347,0,0,13125537,139192,0,0,176560771,76699,0,0,1346844,17646,0,0,165813417,190741,0,0,0,0,0,0,0,0,0,0
2026-05-03 13:06:29,device3,10.0.0.1,5,0,1,171,3,158,0,0,215,0,200,4265,171505,0,790,0,172567,0,100,4639,200,0,200,204,0,204,111747733,76686,0,0,13587679,143518,0,0,19468,212,0,0,416546,431,0,0,8394358,139559,0,0,175244048,76196,0,0,0,0,0,0,0,0,0,0
2026-05-03 13:06:29,device4,192.168.10.10,10,0,1,169,7,173,0,0,68,0,40,123,0,0,341,0,341,0,20,340,40,0,40,40,0,40,274780,361,0,0,25372,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-03 13:06:29,device5,192.168.20.10,57,0,1,26451,29,16424,0,21,158,0,40,201,0,0,26771,0,26771,0,20,16690,117,0,117,40,0,40,111073672,76034,0,0,8435334,140238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-03 13:06:44,device1,172.16.0.80,73,0,0,116,19,213,11,363,317,0,215666,465,0,0,216149,0,216149,0,20,1082,40,0,40,99,0,99,12694344,211524,0,0,179440,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-03 13:06:44,device2,172.16.0.1,3,0,1,113,1,93,0,0,98,0,40,137,317095,0,300,0,317397,0,20,303,40,0,40,69,0,69,213402664,148578,3,0,11149539,40197,0,0,22404969,230530,0,0,176582934,76958,0,0,1375281,17983,0,0,171134668,279294,0,0,0,0,0,0,0,0,0,0
2026-05-03 13:06:44,device3,10.0.0.1,5,0,1,171,3,158,0,0,280,0,200,7173,277734,0,863,0,261105,0,100,7547,200,0,200,204,0,204,111769896,76945,0,0,22829777,234788,0,0,29604,329,0,0,426672,549,0,0,13691283,227815,0,0,175250170,76270,0,0,0,0,0,0,0,0,0,0
2026-05-03 13:06:44,device4,192.168.10.10,10,0,1,169,7,173,0,0,184,0,40,289,0,0,501,0,501,0,20,503,40,0,40,40,0,40,285083,481,0,0,35597,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-03 13:06:44,device5,192.168.20.10,57,0,1,26451,29,16424,0,21,216,0,40,259,0,0,26846,0,26846,0,20,16748,132,0,132,40,0,40,111079716,76107,0,0,15270659,254134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
