Timestamp,Device,IP,tcpActiveOpens,tcpCurrEstab,tcpEstabResets,tcpInSegs,tcpOutRsts,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,udpInDatagrams,udpInErrors,udpNoPorts,udpOutDatagrams,ipForwDatagrams,ipInAddrErrors,ipInDelivers,ipInDiscards,ipInReceives,ipOutNoRoutes,ipOutDiscards,ipOutRequests,icmpInDestUnreachs,icmpInEchos,icmpInMsgs,icmpOutDestUnreachs,icmpOutEchoReps,icmpOutMsgs,ifInOctets_enp0s3,ifInUcastPkts_enp0s3,ifInNUcastPkts_enp0s3,ifInDiscards_enp0s3,ifOutOctets_enp0s3,ifOutUcastPkts_enp0s3,ifOutNUcastPkts_enp0s3,ifOutDiscards_enp0s3,ifInOctets_enp0s8,ifInUcastPkts_enp0s8,ifInNUcastPkts_enp0s8,ifInDiscards_enp0s8,ifOutOctets_enp0s8,ifOutUcastPkts_enp0s8,ifOutNUcastPkts_enp0s8,ifOutDiscards_enp0s8,ifInOctets_enp0s9,ifInUcastPkts_enp0s9,ifInNUcastPkts_enp0s9,ifInDiscards_enp0s9,ifOutOctets_enp0s9,ifOutUcastPkts_enp0s9,ifOutNUcastPkts_enp0s9,ifOutDiscards_enp0s9,ifInOctets_enp0s10,ifInUcastPkts_enp0s10,ifInNUcastPkts_enp0s10,ifInDiscards_enp0s10,ifOutOctets_enp0s10,ifOutUcastPkts_enp0s10,ifOutNUcastPkts_enp0s10,ifOutDiscards_enp0s10
2026-04-27 13:31:01,device1,172.16.0.80,78,283,1,6113,20,5556,1054,378,439,0,40,576,0,0,6641,0,6641,0,20,6383,40,0,40,40,0,40,687074,6225,0,0,1159830,6131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-27 13:31:01,device2,172.16.0.1,3,0,1,32,1,30,0,0,218,0,40,257,74440,0,334,0,74776,0,20,331,40,0,40,40,0,40,141254935,99123,3,0,1509104,21583,0,0,1196996,13472,0,0,62795546,34233,0,0,2279593,22034,0,0,158909187,78327,0,0,0,0,0,0,0,0,0,0
2026-04-27 13:31:01,device3,10.0.0.1,8,0,1,4318,1,2718,0,0,257,0,40,307,21215,0,4661,0,25876,0,20,3076,40,0,40,40,0,40,41567360,34265,0,0,1206240,13598,0,0,250288,3756,0,0,21010436,9909,0,0,736722,6814,0,0,2456273,6532,0,0,0,0,0,0,0,0,0,0
2026-04-27 13:31:01,device4,192.168.10.10,28,1,1,4182,21,3334,0,0,476,0,40,557,0,0,4781,0,4781,0,20,3933,40,0,40,40,0,40,13493928,9823,0,0,251224,3768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-27 13:31:01,device5,192.168.20.10,1069,269,1,5675,99,6439,0,1,442,0,40,481,0,0,6201,0,6201,0,20,6965,40,0,40,40,0,40,1937972,6559,0,0,746095,6923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-27 13:31:16,device1,172.16.0.80,80,202,1,6312,20,5842,1059,388,502,0,40,641,0,0,6898,0,6898,0,20,6736,40,0,40,40,0,40,703416,6436,0,0,1228994,6410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-27 13:31:16,device2,172.16.0.1,3,0,1,32,1,30,0,0,275,0,40,314,75904,0,391,0,76297,0,20,388,40,0,40,40,0,40,141708613,99471,3,0,1524466,21782,0,0,1248935,14116,0,0,63561524,35087,0,0,2375119,22619,0,0,158951297,78837,0,0,0,0,0,0,0,0,0,0
2026-04-27 13:31:16,device3,10.0.0.1,8,0,1,4318,1,2718,0,0,321,0,40,371,22528,0,4722,0,27250,0,20,3139,40,0,40,40,0,40,42084298,35048,0,0,1255323,14198,0,0,267275,3973,0,0,21352461,10200,0,0,761721,7130,0,0,2843518,6964,0,0,0,0,0,0,0,0,0,0
2026-04-27 13:31:16,device4,192.168.10.10,28,1,1,4275,23,3426,0,0,591,0,40,672,0,0,4989,0,4989,0,20,4140,40,0,40,40,0,40,13730677,10112,0,0,268211,3985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-27 13:31:16,device5,192.168.20.10,1075,184,1,6050,110,6727,0,2,558,0,40,597,0,0,6692,0,6692,0,20,7370,40,0,40,40,0,40,2239976,7193,0,0,779188,7372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
