Timestamp,tcpActiveOpens,tcpCurrEstab,tcpEstabResets,tcpInSegs,tcpOutRsts,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,udpInDatagrams,udpInErrors,udpNoPorts,udpOutDatagrams,ipForwDatagrams,ipInAddrErrors,ipInDelivers,ipInDiscards,ipInReceives,ipOutNoRoutes,ipOutDiscards,ipOutRequests,icmpInDestUnreachs,icmpInEchos,icmpInMsgs,icmpOutDestUnreachs,icmpOutEchoReps,icmpOutMsgs,ifInDiscards_enp0s9,ifInNUcastPkts_enp0s9,ifInOctets_enp0s9,ifInUcastPkts_enp0s9,ifoutDiscards_enp0s9,ifOutNUcastPkts_enp0s9,ifOutOctets_ens0p9,ifOutUcastPkts_enp0s9
2026-01-05 13:51:47,0,2,1,1461,0,1479,3,0,750,0,40,863,1552,0,2409,0,3969,0,20,2521,62,90,152,74,90,173,0,0,53923,800,0,0,3389521,1698
2026-01-05 13:51:52,0,2,1,1461,0,1479,3,0,789,0,40,902,1552,0,2446,0,4006,0,20,2558,62,90,152,74,90,173,0,0,53923,800,0,0,3389521,1698
2026-01-05 13:52:48,0,2,1,1461,0,1479,3,0,862,0,40,977,1552,0,2522,0,4082,0,20,2636,62,93,155,74,93,176,0,0,53923,800,0,0,3389521,1698
2026-01-05 13:52:53,0,2,1,1461,0,1479,3,0,897,0,40,1012,1552,0,2557,0,4117,0,20,2671,62,93,155,74,93,176,0,0,53923,800,0,0,3389521,1698
2026-01-05 13:52:58,0,2,1,1461,0,1479,3,0,897,0,40,1049,1552,0,2557,0,4156,0,20,2710,62,93,155,74,93,176,0,0,53923,800,0,0,3389521,1698
2026-01-05 13:53:03,0,2,1,1461,0,1479,3,0,967,0,40,1083,1552,0,2629,0,4189,0,20,2744,62,93,155,74,93,176,0,0,53923,800,0,0,3389521,1698
2026-01-05 13:53:08,0,2,1,1461,0,1479,3,0,967,0,40,1119,1552,0,2629,0,4226,0,20,2781,62,93,155,74,93,176,0,0,53923,800,0,0,3389521,1698
2026-01-05 13:53:13,0,2,1,1461,0,1479,3,0,1003,0,40,1156,1552,0,2666,0,4226,0,20,2818,62,93,155,74,93,176,0,0,53923,800,0,0,3389521,1698
2026-01-05 13:53:18,0,1,2,1463,0,1479,3,0,1040,0,40,1156,1552,0,2703,0,4263,0,20,2818,62,93,155,74,93,176,0,0,53923,800,0,0,3389521,1698
2026-01-05 13:53:23,0,1,2,1463,0,1479,3,0,1106,0,40,1222,1558,0,2768,0,4334,0,20,2881,62,93,155,74,93,176,0,0,54315,804,0,0,3389913,1702
2026-01-05 13:53:28,0,1,2,1463,0,1479,3,0,1141,0,40,1257,1572,0,2806,0,4386,0,20,2919,62,96,158,74,96,179,0,0,55023,812,0,0,3390621,1710
2026-01-05 13:53:33,0,1,2,1463,0,1479,3,0,1177,0,40,1293,1582,0,2842,0,4432,0,20,2955,62,96,158,74,96,179,0,0,55611,818,0,0,3391209,1716
2026-01-05 13:53:38,0,1,2,1463,0,1479,3,0,1177,0,40,1293,1582,0,2842,0,4432,0,20,2997,62,96,158,74,96,179,0,0,55905,821,0,0,3391503,1719
2026-01-05 13:53:43,0,1,2,1463,0,1479,3,0,1247,0,40,1363,1592,0,2884,0,4484,0,20,3037,62,96,158,74,96,179,0,0,56493,827,0,0,3392091,1725
2026-01-05 13:53:49,0,1,2,1463,0,1479,3,0,1288,0,40,1404,1606,0,2924,0,4538,0,20,3037,62,96,158,74,96,179,0,0,56847,831,0,0,3392739,1732
2026-01-05 13:53:54,0,1,2,1463,0,1479,3,0,1323,0,40,1439,1620,0,2988,0,4616,0,20,3101,62,96,158,74,96,179,0,0,57435,837,0,0,3393033,1735
2026-01-05 13:53:59,0,1,2,1463,0,1479,3,0,1323,0,40,1478,1634,0,3025,0,4667,0,20,3141,62,96,158,74,96,179,0,0,58023,843,0,0,3393621,1741
2026-01-05 13:54:04,0,1,2,1463,0,1479,3,0,1362,0,40,1515,1634,0,3025,0,4667,0,20,3141,62,96,158,74,96,179,0,0,58317,846,0,0,3393915,1744
2026-01-05 13:54:09,0,1,2,1463,0,1479,3,0,1421,0,40,1540,1650,0,3082,0,4740,0,20,3198,62,96,158,74,96,179,0,0,59319,857,0,0,3394917,1755
2026-01-05 13:54:14,0,1,2,1463,0,1479,3,0,1421,0,40,1540,1650,0,3082,0,4801,0,20,3249,62,96,158,74,96,179,0,0,59907,863,0,0,3395505,1761
2026-01-05 13:54:20,0,1,2,1463,0,1479,3,0,1499,0,40,1618,1672,0,3164,0,4844,0,20,3280,62,96,158,74,96,179,0,0,60201,866,0,0,3395799,1764
2026-01-05 13:54:25,0,1,2,1463,0,1479,3,0,1534,0,40,1653,1682,0,3200,0,4890,0,20,3316,62,99,161,74,99,182,0,0,60789,872,0,0,3396681,1773
2026-01-05 13:54:31,0,1,2,1463,0,1479,3,0,1570,0,40,1689,1694,0,3238,0,4940,0,20,3354,62,99,161,74,99,182,0,0,61083,875,0,0,3396975,1776
2026-01-05 13:54:36,0,1,2,1463,0,1479,3,0,1610,0,40,1729,1694,0,3279,0,4991,0,20,3395,62,99,161,74,99,182,0,0,61965,884,0,0,3397563,1782
2026-01-05 13:54:43,0,1,2,1463,0,1479,3,0,1653,0,40,1772,1718,0,3321,0,5047,0,20,3437,62,99,161,74,99,182,0,0,62613,891,0,0,3398211,1789
2026-01-05 13:54:48,0,1,2,1463,0,1479,3,0,1692,0,40,1811,1728,0,3360,0,5096,0,20,3476,62,99,161,74,99,182,0,0,62967,895,0,0,3398565,1793
2026-01-05 13:54:53,0,1,2,1463,0,1479,3,0,1723,0,40,1842,1740,0,3387,0,5135,0,20,3503,62,99,161,74,99,182,0,0,63849,904,0,0,3399447,1802
2026-01-05 13:55:01,0,1,2,1463,0,1479,3,0,1769,0,40,1890,1754,0,3437,0,5199,0,20,3555,62,99,161,74,99,182,0,0,64437,910,0,0,3400035,1808
2026-01-05 13:55:06,0,1,2,1463,0,1479,3,0,1804,0,40,1925,1764,0,3472,0,5259,0,20,3595,62,99,161,74,99,182,0,0,65319,919,0,0,3400917,1817
2026-01-05 13:55:14,0,1,2,1463,0,1479,3,0,1839,0,40,1960,1774,0,3477,0,5259,0,20,3595,62,99,161,74,99,182,0,0,65673,923,0,0,3401271,1821
2026-01-05 13:55:48,0,1,2,1463,0,1479,3,0,1922,0,40,2043,1848,0,3593,0,5449,0,20,3711,62,102,164,74,102,185,0,0,69027,958,0,0,3404919,1859
2026-01-05 13:56:02,0,1,2,1463,0,1479,3,0,1991,0,40,2114,1878,0,3662,0,5548,0,20,3782,62,102,164,74,102,185,0,0,70791,976,0,0,3406683,1877
2026-01-05 13:56:11,0,1,2,1463,0,1479,3,0,2017,0,40,2140,1890,0,3699,0,5607,0,20,3819,62,102,164,74,102,185,0,0,71793,987,0,0,3407685,1888
2026-01-05 13:56:20,0,1,2,1463,0,1479,3,0,2062,0,40,2185,1912,0,3733,0,5653,0,20,3853,62,102,164,74,102,185,0,0,72381,993,0,0,3407979,1891
2026-01-05 13:56:25,0,1,2,1463,0,1479,3,0,2097,0,40,2220,1922,0,3769,0,5699,0,20,3889,62,104,166,74,104,187,0,0,72969,999,0,0,3408567,1897
2026-01-05 13:56:30,0,1,2,1463,0,1479,3,0,2097,0,40,2256,1932,0,3807,0,5747,0,20,3927,62,104,166,74,105,188,0,0,73557,1005,0,0,3409155,1903
2026-01-05 13:56:35,0,1,2,1463,0,1479,3,0,2133,0,40,2294,1944,0,3842,0,5794,0,20,3962,62,105,167,74,105,188,0,0,73851,1008,0,0,3409449,1906
2026-01-05 13:56:40,0,1,2,1463,0,1479,3,0,2171,0,40,2294,1944,0,3842,0,5794,0,20,3962,62,105,167,74,105,188,0,0,74341,1013,0,0,3409939,1914
2026-01-05 13:56:46,0,1,2,1463,0,1479,3,0,2242,0,40,2365,1970,0,3916,0,5894,0,20,4036,62,105,167,74,105,188,0,0,74989,1020,0,0,3410587,1922
2026-01-05 13:56:52,0,1,2,1463,0,1479,3,0,2277,0,40,2400,1970,0,3916,0,5894,0,20,4036,62,105,167,74,105,188,0,0,75637,1027,0,0,3411235,1925
2026-01-05 13:56:57,0,1,2,1463,0,1479,3,0,2277,0,40,2437,1980,0,3972,0,5960,0,20,4092,62,105,167,74,105,188,0,0,75931,1030,0,0,3411529,1928
2026-01-05 13:57:02,0,1,2,1463,0,1479,3,0,2347,0,40,2477,1998,0,4021,0,6027,0,20,4148,62,105,167,74,105,188,0,0,76519,1036,0,0,3412117,1934
2026-01-05 13:57:07,0,1,2,1463,0,1479,3,0,2347,0,40,2515,2008,0,4056,0,6072,0,20,4183,62,105,167,74,105,188,0,0,77107,1042,0,0,3412705,1940
2026-01-05 13:57:12,0,1,2,1463,0,1479,3,0,2385,0,40,2515,2008,0,4056,0,6072,0,20,4183,62,105,167,74,105,188,0,0,77695,1048,0,0,3413293,1946
2026-01-05 13:57:17,0,1,2,1463,0,1479,3,0,2452,0,40,2582,2026,0,4126,0,6160,0,20,4253,62,105,167,74,105,188,0,0,78049,1052,0,0,3413647,1950
2026-01-05 13:57:22,0,1,2,1463,0,1479,3,0,2486,0,40,2616,2038,0,4160,0,6206,0,20,4287,62,106,168,74,106,189,0,0,78637,1058,0,0,3414235,1956
2026-01-05 13:57:27,0,1,2,1463,0,1479,3,0,2486,0,40,2616,2038,0,4160,0,6206,0,20,4287,62,108,170,74,108,191,0,0,79225,1064,0,0,3414823,1962
2026-01-05 13:57:32,0,1,2,1463,0,1479,3,0,2558,0,40,2688,2054,0,4235,0,6297,0,20,4362,62,108,170,74,108,191,0,0,79579,1068,0,0,3415177,1966
2026-01-05 13:57:37,0,1,2,1463,0,1479,3,0,2558,0,40,2729,2068,0,4277,0,6353,0,20,4404,62,108,170,74,108,191,0,0,80167,1074,0,0,3415765,1972
2026-01-05 13:57:42,0,1,2,1463,0,1479,3,0,2599,0,40,2769,2068,0,4277,0,6353,0,20,4404,62,108,170,74,108,191,0,0,80461,1077,0,0,3416059,1975
2026-01-05 13:57:47,0,1,2,1463,0,1479,3,0,2639,0,40,2810,2090,0,4356,0,6454,0,20,4483,62,108,170,74,108,191,0,0,81403,1087,0,0,3417001,1985
2026-01-05 13:57:53,0,1,2,1463,0,1479,3,0,2716,0,40,2846,2090,0,4356,0,6454,0,20,4483,62,108,170,74,108,191,0,0,81697,1090,0,0,3417295,1988
2026-01-05 13:57:58,0,1,2,1463,0,1479,3,0,2716,0,40,2887,2112,0,4432,0,6552,0,20,4567,62,108,170,74,108,191,0,0,82285,1096,0,0,3417883,1994
2026-01-05 13:58:04,0,1,2,1463,0,1479,3,0,2789,0,40,2927,2112,0,4432,0,6552,0,20,4567,62,108,170,74,108,191,0,0,82579,1099,0,0,3418177,1997
2026-01-05 13:58:09,0,1,2,1463,0,1479,3,0,2824,0,40,2962,2128,0,4501,0,6637,0,20,4636,62,108,170,74,108,191,0,0,83461,1108,0,0,3419059,2006
2026-01-05 13:58:15,0,1,2,1463,0,1479,3,0,2859,0,40,2997,2140,0,4536,0,6684,0,20,4671,62,108,170,74,108,191,0,0,83815,1112,0,0,3419413,2010
2026-01-05 13:58:20,0,1,2,1463,0,1479,3,0,2894,0,40,3032,2150,0,4571,0,6729,0,20,4706,62,108,170,74,108,191,0,0,84463,1119,0,0,3420061,2017
2026-01-05 13:58:25,0,1,2,1463,0,1479,3,0,2929,0,40,3067,2168,0,4609,0,6785,0,20,4744,62,111,173,74,111,194,0,0,85345,1128,0,0,3420943,2026
2026-01-05 13:58:32,0,1,2,1463,0,1479,3,0,2929,0,40,3067,2168,0,4609,0,6785,0,20,4744,62,111,173,74,111,194,0,0,85639,1131,0,0,3421237,2029
2026-01-05 13:58:37,0,1,2,1463,0,1479,3,0,3000,0,40,3138,2184,0,4681,0,6873,0,20,4816,62,111,173,74,111,194,0,0,85933,1134,0,0,3421531,2032
2026-01-05 14:06:37,0,0,0,0,0,0,0,0,51,0,40,90,0,0,142,0,144,0,20,141,40,7,47,40,7,47,0,0,0,0,0,0,796,10
2026-01-05 14:06:42,0,0,0,0,0,0,0,0,91,0,40,130,0,0,183,0,185,0,20,182,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:06:47,0,0,0,0,0,0,0,0,91,0,40,171,0,0,226,0,228,0,20,225,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:06:52,0,0,0,0,0,0,0,0,169,0,40,208,0,0,263,0,265,0,20,262,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:06:57,0,0,0,0,0,0,0,0,169,0,40,250,0,0,263,0,265,0,20,304,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:02,0,0,0,0,0,0,0,0,211,0,40,250,0,0,305,0,341,0,20,338,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:07,0,0,0,0,0,0,0,0,279,0,40,318,0,0,370,0,372,0,20,369,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:12,0,0,0,0,0,0,0,0,279,0,40,318,0,0,370,0,372,0,20,409,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:17,0,0,0,0,0,0,0,0,348,0,40,387,0,0,410,0,412,0,20,409,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:22,0,0,0,0,0,0,0,0,383,0,40,422,0,0,474,0,476,0,20,473,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:27,0,0,0,0,0,0,0,0,418,0,40,457,0,0,514,0,516,0,20,513,40,10,50,40,10,50,0,0,0,0,0,0,866,11
