Timestamp,Device,IP,tcpActiveOpens,tcpCurrEstab,tcpEstabResets,tcpInSegs,tcpOutRsts,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,udpInDatagrams,udpInErrors,udpNoPorts,udpOutDatagrams,ipForwDatagrams,ipInAddrErrors,ipInDelivers,ipInDiscards,ipInReceives,ipOutNoRoutes,ipOutDiscards,ipOutRequests,icmpInDestUnreachs,icmpInEchos,icmpInMsgs,icmpOutDestUnreachs,icmpOutEchoReps,icmpOutMsgs,ifInOctets_enp0s3,ifInUcastPkts_enp0s3,ifInNUcastPkts_enp0s3,ifInDiscards_enp0s3,ifOutOctets_enp0s3,ifOutUcastPkts_enp0s3,ifOutNUcastPkts_enp0s3,ifOutDiscards_enp0s3,ifInOctets_enp0s8,ifInUcastPkts_enp0s8,ifInNUcastPkts_enp0s8,ifInDiscards_enp0s8,ifOutOctets_enp0s8,ifOutUcastPkts_enp0s8,ifOutNUcastPkts_enp0s8,ifOutDiscards_enp0s8,ifInOctets_enp0s9,ifInUcastPkts_enp0s9,ifInNUcastPkts_enp0s9,ifInDiscards_enp0s9,ifOutOctets_enp0s9,ifOutUcastPkts_enp0s9,ifOutNUcastPkts_enp0s9,ifOutDiscards_enp0s9,ifInOctets_enp0s10,ifInUcastPkts_enp0s10,ifInNUcastPkts_enp0s10,ifInDiscards_enp0s10,ifOutOctets_enp0s10,ifOutUcastPkts_enp0s10,ifOutNUcastPkts_enp0s10,ifOutDiscards_enp0s10
2026-04-07 07:28:35,device1,172.16.0.80,55,0,0,63,14,124,5,272,223,0,0,351,0,0,335,0,335,0,0,722,0,0,0,0,0,0,3920,55,0,0,93726,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 07:28:35,device2,172.16.0.1,7,0,1,388,7,321,0,0,49,0,40,88,2137,0,564,0,2703,0,20,451,40,0,40,40,0,40,3245407,2547,2,0,68277,887,0,0,60698,776,0,0,2127967,1183,0,0,115112,812,0,0,5576,79,0,0,0,0,0,0,0,0,0,0
2026-04-07 07:28:35,device3,10.0.0.1,19,0,0,0,0,19,0,114,131,0,40,230,1201,0,218,0,1423,0,20,421,40,0,40,42,0,42,1365031,1171,0,0,63988,819,0,0,20633,233,0,0,1079933,607,0,0,26939,381,0,0,1053970,653,0,0,0,0,0,0,0,0,0,0
2026-04-07 07:28:35,device4,192.168.10.10,9,0,1,216,5,193,0,0,62,0,40,118,0,0,379,0,379,0,20,355,40,0,40,40,0,40,640773,621,0,0,26479,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 07:28:35,device5,192.168.20.10,20,0,1,374,7,350,0,2,86,0,60,171,0,0,633,0,633,0,20,620,95,0,95,93,0,93,729346,609,0,0,29615,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 07:28:50,device1,172.16.0.80,59,0,0,67,16,130,5,284,287,0,0,417,0,0,358,0,358,0,0,807,0,0,0,0,0,0,8976,115,0,0,100022,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 07:28:50,device2,172.16.0.1,7,0,1,388,7,321,0,0,107,0,40,146,2750,0,577,0,3329,0,20,509,40,0,40,40,0,40,3245407,2547,2,0,68277,887,0,0,87020,1084,0,0,2153369,1482,0,0,147312,1194,0,0,36176,435,0,0,0,0,0,0,0,0,0,0
2026-04-07 07:28:50,device3,10.0.0.1,21,0,0,0,0,21,0,121,202,0,40,301,1665,0,286,0,1955,0,20,501,40,0,40,42,0,42,1390433,1470,0,0,90536,1130,0,0,30653,350,0,0,1090021,726,0,0,37021,499,0,0,1064118,773,0,0,0,0,0,0,0,0,0,0
2026-04-07 07:28:50,device4,192.168.10.10,9,0,1,216,5,193,0,0,177,0,40,233,0,0,493,0,493,0,20,470,40,0,40,40,0,40,650705,738,0,0,36501,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 07:28:50,device5,192.168.20.10,20,0,1,374,7,350,0,2,203,0,60,288,0,0,736,0,736,0,20,737,95,0,95,93,0,93,739338,727,0,0,39697,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
