Timestamp,Device,IP,tcpActiveOpens,tcpCurrEstab,tcpEstabResets,tcpInSegs,tcpOutRsts,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,udpInDatagrams,udpInErrors,udpNoPorts,udpOutDatagrams,ipForwDatagrams,ipInAddrErrors,ipInDelivers,ipInDiscards,ipInReceives,ipOutNoRoutes,ipOutDiscards,ipOutRequests,icmpInDestUnreachs,icmpInEchos,icmpInMsgs,icmpOutDestUnreachs,icmpOutEchoReps,icmpOutMsgs,ifInOctets_enp0s3,ifInUcastPkts_enp0s3,ifInNUcastPkts_enp0s3,ifInDiscards_enp0s3,ifOutOctets_enp0s3,ifOutUcastPkts_enp0s3,ifOutNUcastPkts_enp0s3,ifOutDiscards_enp0s3,ifInOctets_enp0s8,ifInUcastPkts_enp0s8,ifInNUcastPkts_enp0s8,ifInDiscards_enp0s8,ifOutOctets_enp0s8,ifOutUcastPkts_enp0s8,ifOutNUcastPkts_enp0s8,ifOutDiscards_enp0s8,ifInOctets_enp0s9,ifInUcastPkts_enp0s9,ifInNUcastPkts_enp0s9,ifInDiscards_enp0s9,ifOutOctets_enp0s9,ifOutUcastPkts_enp0s9,ifOutNUcastPkts_enp0s9,ifOutDiscards_enp0s9,ifInOctets_enp0s10,ifInUcastPkts_enp0s10,ifInNUcastPkts_enp0s10,ifInDiscards_enp0s10,ifOutOctets_enp0s10,ifOutUcastPkts_enp0s10,ifOutNUcastPkts_enp0s10,ifOutDiscards_enp0s10
2026-04-07 14:33:55,device1,172.16.0.80,24,0,0,42,8,76,4,111,153,0,40,241,0,0,280,0,280,0,20,452,40,0,40,40,0,40,8100,102,0,0,66978,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 14:33:55,device2,172.16.0.1,0,0,0,0,0,0,0,0,106,0,40,145,3800,0,192,0,4022,0,20,205,40,2,42,54,2,56,704214,1048,5,0,604372,998,0,0,139580,1484,0,0,1104300,1165,0,0,469822,1895,0,0,60281,742,0,0,0,0,0,0,0,0,0,0
2026-04-07 14:33:55,device3,10.0.0.1,124,0,0,17,0,139,0,684,792,0,62,1141,1535,0,942,0,2477,0,20,2045,64,3,67,62,3,65,756138,1174,0,0,203810,2252,0,0,47789,531,0,0,774928,943,0,0,21512,248,0,0,354979,561,0,0,0,0,0,0,0,0,0,0
2026-04-07 14:33:55,device4,192.168.10.10,22,0,0,337,10,331,0,11,230,0,40,301,0,0,697,0,697,0,20,687,54,0,54,40,0,40,522338,764,0,0,53778,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 14:33:55,device5,192.168.20.10,6,0,0,117,0,117,0,0,158,0,40,197,0,0,359,0,359,0,20,358,40,0,40,40,0,40,227053,324,0,0,22378,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 14:34:10,device1,172.16.0.80,27,0,0,60,10,103,6,121,217,0,40,309,0,0,361,0,361,0,20,543,40,0,40,40,0,40,14304,177,0,0,96505,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 14:34:10,device2,172.16.0.1,0,0,0,0,0,0,0,0,168,0,40,207,4712,0,254,0,4996,0,20,267,40,2,42,54,2,56,994204,1292,5,0,616671,1141,0,0,178307,1936,0,0,1601184,1726,0,0,524514,2288,0,0,92035,1113,0,0,0,0,0,0,0,0,0,0
2026-04-07 14:34:10,device3,10.0.0.1,124,0,0,17,0,139,0,684,854,0,62,1204,2309,0,1003,0,3312,0,20,2107,64,3,67,62,3,65,1094526,1735,0,0,242693,2706,0,0,65012,737,0,0,1025892,1207,0,0,36556,433,0,0,596053,802,0,0,0,0,0,0,0,0,0,0
2026-04-07 14:34:10,device4,192.168.10.10,25,0,0,417,14,411,0,11,360,0,40,435,0,0,911,0,911,0,20,901,54,0,54,40,0,40,692458,1026,0,0,71001,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 14:34:10,device5,192.168.20.10,8,0,0,182,2,182,0,0,280,0,40,319,0,0,546,0,546,0,20,545,40,0,40,40,0,40,395099,621,0,0,42405,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
