Timestamp,Device,IP,tcpActiveOpens,tcpCurrEstab,tcpEstabResets,tcpInSegs,tcpOutRsts,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,udpInDatagrams,udpInErrors,udpNoPorts,udpOutDatagrams,ipForwDatagrams,ipInAddrErrors,ipInDelivers,ipInDiscards,ipInReceives,ipOutNoRoutes,ipOutDiscards,ipOutRequests,icmpInDestUnreachs,icmpInEchos,icmpInMsgs,icmpOutDestUnreachs,icmpOutEchoReps,icmpOutMsgs,ifInOctets_enp0s3,ifInUcastPkts_enp0s3,ifInNUcastPkts_enp0s3,ifInDiscards_enp0s3,ifOutOctets_enp0s3,ifOutUcastPkts_enp0s3,ifOutNUcastPkts_enp0s3,ifOutDiscards_enp0s3,ifInOctets_enp0s8,ifInUcastPkts_enp0s8,ifInNUcastPkts_enp0s8,ifInDiscards_enp0s8,ifOutOctets_enp0s8,ifOutUcastPkts_enp0s8,ifOutNUcastPkts_enp0s8,ifOutDiscards_enp0s8,ifInOctets_enp0s9,ifInUcastPkts_enp0s9,ifInNUcastPkts_enp0s9,ifInDiscards_enp0s9,ifOutOctets_enp0s9,ifOutUcastPkts_enp0s9,ifOutNUcastPkts_enp0s9,ifOutDiscards_enp0s9,ifInOctets_enp0s10,ifInUcastPkts_enp0s10,ifInNUcastPkts_enp0s10,ifInDiscards_enp0s10,ifOutOctets_enp0s10,ifOutUcastPkts_enp0s10,ifOutNUcastPkts_enp0s10,ifOutDiscards_enp0s10
2026-04-15 12:57:29,device1,172.16.0.80,70,0,0,141,18,253,15,340,251,0,40,388,0,0,521,0,521,0,20,937,40,0,40,40,0,40,9180,122,0,0,213663,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-15 12:57:29,device2,172.16.0.1,3,0,1,35,2,33,0,0,40,0,40,79,50053,0,168,0,50223,0,20,155,40,0,40,40,0,40,102080359,72808,2,0,1196106,16580,0,0,132004,1432,0,0,3327586,2206,0,0,1269131,15889,0,0,156050816,70880,0,0,0,0,0,0,0,0,0,0
2026-04-15 12:57:29,device3,10.0.0.1,4,0,2,59,2,56,0,0,40,0,40,86,2700,0,184,0,2890,0,20,195,40,0,40,42,0,42,2263210,2194,0,0,136534,1491,0,0,61643,787,0,0,1670936,1185,0,0,50088,624,0,0,1612151,1050,0,0,0,0,0,0,0,0,0,0
2026-04-15 12:57:29,device4,192.168.10.10,79,0,1,734,15,754,0,5,172,0,70,313,0,0,1160,0,1160,0,20,1251,177,0,177,175,0,175,1130958,1184,0,0,68826,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-15 12:57:29,device5,192.168.20.10,37,0,1,599,13,585,0,0,88,0,40,127,0,0,781,0,781,0,20,756,40,0,40,40,0,40,1103901,1049,0,0,56005,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-15 12:57:44,device1,172.16.0.80,72,0,0,141,18,255,15,348,315,0,40,454,0,0,540,0,540,0,20,1013,40,0,40,40,0,40,14236,182,0,0,219517,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-15 12:57:44,device2,172.16.0.1,3,0,1,35,2,33,0,0,98,0,40,137,50667,0,217,0,50886,0,20,214,40,0,40,40,0,40,102080419,72809,2,0,1196624,16587,0,0,157609,1730,0,0,3352996,2505,0,0,1300863,16265,0,0,156081625,71239,0,0,0,0,0,0,0,0,0,0
2026-04-15 12:57:44,device3,10.0.0.1,4,0,2,59,2,56,0,0,106,0,40,152,3164,0,249,0,3419,0,20,262,40,0,40,42,0,42,2288550,2492,0,0,162217,1965,0,0,71737,905,0,0,1681006,1304,0,0,60170,742,0,0,1622221,1169,0,0,0,0,0,0,0,0,0,0
2026-04-15 12:57:44,device4,192.168.10.10,79,0,1,734,15,754,0,5,287,0,70,428,0,0,1272,0,1272,0,20,1366,177,0,177,175,0,175,1140950,1302,0,0,78990,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-15 12:57:44,device5,192.168.20.10,37,0,1,599,13,585,0,0,204,0,40,243,0,0,887,0,887,0,20,872,40,0,40,40,0,40,1113893,1167,0,0,66089,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
